stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Bregenz,Bregenz,AT,198.1,11.1,11.1,13.8,65.0,8.8,,,7.6,198.1,spring;groundwater,very hard,2026,Stadtwerke Bregenz,https://www.stadtwerke-bregenz.at/wasser-kanal-muell/wasserqualitaet,11.1,11.1,,,2026,https://www.stadtwerke-bregenz.at/wasser-kanal-muell/wasserqualitaet
Dornbirn,Dornbirn,AT,,,8.3,14.1,,,,,,,,varies by supply zone,2019,"Stadt Dornbirn, Wasserwerk (Gemeindeblatt)",https://www.dornbirn.at/fileadmin/www.dornbirn.at/Kommunikation/Dokumente/Gemeindeblatt_2020/Gemeindeblatt-Nr-8-vom-21-02-2020.pdf,7.8,12.3,,,2019,https://www.dornbirn.at/fileadmin/www.dornbirn.at/Kommunikation/Dokumente/Gemeindeblatt_2020/Gemeindeblatt-Nr-8-vom-21-02-2020.pdf
Feldkirch,Feldkirch,AT,,,9.2,17.0,,,,,7.4,,spring;groundwater,varies by supply zone,2025,Stadtwerke Feldkirch,https://www.stadtwerke-feldkirch.at/unsere-bereiche/wasser/informationen-zur-wasserqualitaet-und-haerte,7.7,14.4,,,2025,https://www.stadtwerke-feldkirch.at/fileadmin/user_upload/document/Stadtwerke_Feldkirch/Wasser/2026_Quellwasseruntersuchung_Bereich_Samina.pdf
Graz,Graz,AT,,,15.0,22.0,,,,,7.6,,,varies by supply zone,2025,Holding Graz Wasserwirtschaft,https://www.holding-graz.at/de/wasser/wasserlabor/,11.0,16.0,,,2025,https://www.holding-graz.at/wp-content/uploads/2026/01/Befund-Graz_2025.pdf
Innsbruck,Innsbruck,AT,,,1.5,18.2,,,,,8.0,,spring,varies by supply zone,2024,Innsbrucker Kommunalbetriebe (IKB),https://www.ikb.at/fileadmin/user_upload/Dokumente/Wasser/IKB_Wasser_Parameter-Versorgungszonen.pdf,0.9,13.7,6.5,14.5,unda,https://www.ikb.at/wasserhaerte-innsbruck
Kapfenberg,Kapfenberg,AT,276.6,15.5,11.5,15.5,,,,,7.3,246.3,groundwater;long_distance,very hard,2026,Stadtwerke Kapfenberg,https://www.stadtwerke-kapfenberg.at/files/SWK_Layout/PDFs/Wasser/Wasserbefunde%20Brunnen%20Hafendorf-0826.pdf,13.8,13.8,,,2026,https://www.stadtwerke-kapfenberg.at/files/SWK_Layout/PDFs/Wasser/Wasserbefunde%20Brunnen%20Hafendorf-0826.pdf
Klagenfurt,Klagenfurt,AT,,,13.8,18.0,,,,,7.4,,groundwater,varies by supply zone,2026,Stadtwerke Klagenfurt,https://www.stw.at/privat/wasser/wasserqualitaet/,10.8,16.0,,,2026,https://www.stw.at/wp-content/uploads/2026/06/gutachten_w-202611780.pdf
Kufstein,Kufstein,AT,,,6.6,9.0,,,3.3,,7.8,,spring,varies by supply zone,2026,Stadtwerke Kufstein,https://www.stwk.at/fileadmin/Stadtwerke/Downloads/Wasser_und_Abwasser/2026-04_STWK_Pr%C3%BCfbericht-TB-F%C3%BCrh%C3%B6lzl-Hofinger-Quelle.pdf,5.7,8.1,,,2026,https://www.stwk.at/fileadmin/Stadtwerke/Downloads/Wasser_und_Abwasser/2026-04_STWK_Pr%C3%BCfbericht-TB-F%C3%BCrh%C3%B6lzl-Hofinger-Quelle.pdf
Leoben,Leoben,AT,,,5.3,18.0,,,,,7.5,,groundwater,varies by supply zone,2026,Stadtwerke Leoben,https://www.stadtwerke-leoben.at/wp-content/uploads/2026/07/wasserbericht-april-26.pdf,4.0,13.8,,,2026,https://www.stadtwerke-leoben.at/wp-content/uploads/2026/07/wasserbericht-april-26.pdf
Linz,Linz,AT,,,13.0,19.1,,,,,6.8,,,varies by supply zone,2026,LINZ AG,https://www.linzag.at/media/dokumente/wasser_2/trinkwasseruntersuchungen/wasserguete-juli-august-2026.pdf,11.7,17.1,,,2026,https://www.linzag.at/media/dokumente/wasser_2/trinkwasseruntersuchungen/wasserguete-juli-august-2026.pdf
Mödling,Mödling,AT,340.9,19.1,,,,,15.0,,7.6,257.0,groundwater;spring,very hard,2026,Stadtgemeinde Mödling,https://www.moedling.at/system/web/getDocument.ashx?cts=1774000779&fileid=3647464,14.4,14.4,,,2026,https://www.moedling.at/system/web/getDocument.ashx?cts=1774000779&fileid=3647464
Salzburg,Salzburg,AT,,,9.4,18.0,51.7,13.1,,,7.7,,spring,varies by supply zone,2026,Salzburg AG,https://www.salzburg-ag.at/content/dam/web18/dokumente/waerme_wasser/Wasseranalysen.pdf,9.0,17.2,,,2026,https://www.salzburg-ag.at/content/dam/web18/dokumente/waerme_wasser/Wasseranalysen.pdf
Steyr,Steyr,AT,308.8,17.3,,,,,,,7.4,267.7,groundwater,very hard,2025,Stadtbetriebe Steyr,https://ftp2.stadtbetriebe.at/wasser/Wasseruntersuchungsergebnisse_2025.pdf,15.0,15.0,,,2025,https://ftp2.stadtbetriebe.at/wasser/Wasseruntersuchungsergebnisse_2025.pdf
Wien,Vienna,AT,,,6.0,20.0,,,,,7.7,,spring;groundwater,varies by supply zone,2026,Wiener Wasser (MA 31),https://www.wien.gv.at/umwelt/trinkwasserqualitaet-aktuelle-werte,6.4,13.6,,,2026,https://www.wien.gv.at/umwelt/trinkwasserqualitaet-aktuelle-werte
